add,,,,,
X,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,INT,DOUBLE,FLOAT,-,INT
STRING,-,-,-,STRING,
FLOAT,FLOAT,DOUBLE,FLOAT,,
DOUBLE,DOUBLE,DOUBLE,,,
INT,INT,,,,
-,,,,,
subtract,,,,,
R,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,INT,DOUBLE,FLOAT,-,INT
STRING,-,-,-,STRING,
FLOAT,FLOAT,DOUBLE,FLOAT,,
DOUBLE,DOUBLE,DOUBLE,,,
INT,INT,,,,
-,,,,,
multiply,,,,,
X,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,INT,DOUBLE,FLOAT,-,INT
STRING,-,-,-,STRING,
FLOAT,FLOAT,DOUBLE,FLOAT,,
DOUBLE,DOUBLE,DOUBLE,,,
INT,INT,,,,
-,,,,,
divide,,,,,
X,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,INT,DOUBLE,FLOAT,-,INT
STRING,-,-,-,-,
FLOAT,FLOAT,DOUBLE,FLOAT,,
DOUBLE,DOUBLE,DOUBLE,,,
INT,INT,,,,
-,,,,,
equal,,,,,
X,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,BOOL,BOOL,BOOL,-,BOOL
STRING,-,-,-,BOOL,
FLOAT,BOOL,BOOL,BOOL,,
DOUBLE,BOOL,BOOL,,,
INT,BOOL,,,,
-,,,,,
not_equal,,,,,
R,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,BOOL,BOOL,BOOL,-,BOOL
STRING,-,-,-,BOOL,
FLOAT,BOOL,BOOL,BOOL,,
DOUBLE,BOOL,BOOL,,,
INT,BOOL,,,,
-,,,,,
greater_than,,,,,
X,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,BOOL,BOOL,BOOL,-,BOOL
STRING,-,-,-,-,
FLOAT,BOOL,BOOL,BOOL,,
DOUBLE,BOOL,BOOL,,,
INT,BOOL,,,,
-,,,,,
less_than,,,,,
R,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,BOOL,BOOL,BOOL,-,BOOL
STRING,-,-,-,-,
FLOAT,BOOL,BOOL,BOOL,,
DOUBLE,BOOL,BOOL,,,
INT,BOOL,,,,
-,,,,,
greater_than_or_equal,,,,,
X,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,BOOL,BOOL,BOOL,-,BOOL
STRING,-,-,-,-,
FLOAT,BOOL,BOOL,BOOL,,
DOUBLE,BOOL,BOOL,,,
INT,BOOL,,,,
-,,,,,
less_than_or_equal,,,,,
R,INT,DOUBLE,FLOAT,STRING,BOOL
BOOL,BOOL,BOOL,BOOL,-,BOOL
STRING,-,-,-,-,
FLOAT,BOOL,BOOL,BOOL,,
DOUBLE,BOOL,BOOL,,,
INT,BOOL,,,,
